Detection_ID,Image,Class,YOLO_Conf,Evidence_Score,Discrepancy_Delta,Priority_Score,Priority_Tier,Scan_Rank,Global_Fusion_Rank,Global_YOLO_Rank,Rank_Delta,Is_True_Positive,Matched_IoU,Triage_Rationale
1,000123_jpg.rf.2ed0ee5490c8a919344ab2ab0ce3e21f.jpg,mine,96.6,91.0,0.0,97.1,IMMEDIATE_ACTION,1,1,5,4,1,0.8498,High-priority Mine candidate with strong acoustic evidence.
2,000123_jpg.rf.2ed0ee5490c8a919344ab2ab0ce3e21f.jpg,mine,96.27,85.4,0.0,94.0,IMMEDIATE_ACTION,2,2,8,6,1,0.6216,High-priority Mine candidate with strong acoustic evidence.
3,000123_jpg.rf.2ed0ee5490c8a919344ab2ab0ce3e21f.jpg,mine,95.16,81.7,0.0,91.5,IMMEDIATE_ACTION,3,3,11,8,1,0.7132,High-priority Mine candidate with strong acoustic evidence.
4,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,93.92,78.6,0.0,89.3,IMMEDIATE_ACTION,1,4,16,12,1,0.8161,High-priority Mine candidate with strong acoustic evidence.
5,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,96.67,75.9,0.0,89.3,IMMEDIATE_ACTION,2,5,4,-1,1,0.6618,High-priority Mine candidate with strong acoustic evidence.
6,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,87.4,84.1,0.0,88.7,IMMEDIATE_ACTION,3,6,40,34,1,0.5929,High-priority Mine candidate with strong acoustic evidence.
7,000132_jpg.rf.f2ba423ba22a7c3e4d7700d635aab568.jpg,mine,74.12,91.5,0.0,85.7,IMMEDIATE_ACTION,1,7,75,68,1,0.7361,High-priority Mine candidate with strong acoustic evidence.
8,000123_jpg.rf.2ed0ee5490c8a919344ab2ab0ce3e21f.jpg,mine,67.93,93.9,0.0,83.7,IMMEDIATE_ACTION,4,8,83,75,1,0.5345,High-priority Mine candidate with strong acoustic evidence.
9,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,68.48,82.8,0.0,78.3,IMMEDIATE_ACTION,1,9,82,73,0,0.0,High-priority Mine candidate with strong acoustic evidence.
10,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,64.35,81.4,0.0,75.4,IMMEDIATE_ACTION,4,10,88,78,1,0.6798,High-priority Mine candidate with strong acoustic evidence.
11,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,51.87,90.4,0.0,73.6,IMMEDIATE_ACTION,5,11,110,99,0,0.0,High-priority Mine candidate with strong acoustic evidence.
12,000189_jpg.rf.f459bd5eba94804d42ecea439cf8d499.jpg,drowning victim,78.54,62.9,0.0,70.0,IMMEDIATE_ACTION,1,12,65,53,1,0.5877,High-priority Drowning victim candidate with strong acoustic evidence.
13,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,61.18,71.5,0.0,68.7,REVIEW_REQUIRED,2,13,94,81,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
14,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,54.96,77.7,0.0,68.6,REVIEW_REQUIRED,6,14,105,91,0,0.4113,Subsurface mine hazard candidate requiring manual analyst verification.
15,000253_jpg.rf.b01c6bf31461983988c07843e05a7d5c.jpg,mine,44.13,87.6,0.0,68.2,REVIEW_REQUIRED,1,15,115,100,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
16,000146_jpg.rf.8fa6423856373435557a610e09ac9f21.jpg,mine,59.81,69.0,0.0,66.7,REVIEW_REQUIRED,1,16,96,80,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
17,000503_jpg.rf.6a9f7d8380ce2e07f5ca7f5c2604ecef.jpg,drowning victim,67.86,64.3,0.0,65.4,REVIEW_REQUIRED,1,17,84,67,0,0.0,Moderate evidence candidate requiring operator verification.
18,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,42.85,80.9,0.0,64.0,REVIEW_REQUIRED,7,18,117,99,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
19,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,60.12,62.0,0.0,63.2,REVIEW_REQUIRED,3,19,95,76,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
20,000212_jpg.rf.177b8d203b522165d2e20c7ebc032f09.jpg,drowning victim,44.2,82.1,0.0,62.5,REVIEW_REQUIRED,1,20,114,94,1,0.6843,Moderate evidence candidate requiring operator verification.
21,000074_jpg.rf.a3b1f80cc9cbb52615000900fc2034ca.jpg,airplane,77.7,75.0,0.0,61.8,REVIEW_REQUIRED,1,21,68,47,1,0.8544,Moderate evidence candidate requiring operator verification.
22,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,37.54,80.6,0.0,61.1,REVIEW_REQUIRED,8,22,124,102,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
23,000533_jpg.rf.12df0ac8de17dacf5885adf13048c92d.jpg,wreck,91.61,88.1,0.0,60.7,REVIEW_REQUIRED,1,23,24,1,1,0.7561,Moderate evidence candidate requiring operator verification.
24,000032_jpg.rf.830934e9aec278a1aac2c775b2bf7e63.jpg,airplane,88.32,61.2,0.0,60.6,REVIEW_REQUIRED,1,24,38,14,1,0.8129,Moderate evidence candidate requiring operator verification.
25,000531_jpg.rf.8052e47ac12821c9f3e467139d287517.jpg,wreck,86.02,91.3,0.0,59.8,REVIEW_REQUIRED,1,25,50,25,1,0.9292,Moderate evidence candidate requiring operator verification.
26,000616_jpg.rf.a7407774ef24098281439571bbe0c6d0.jpg,wreck,93.89,82.8,0.0,59.6,REVIEW_REQUIRED,1,26,17,-9,1,0.8911,Moderate evidence candidate requiring operator verification.
27,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,37.27,77.2,0.0,59.2,REVIEW_REQUIRED,4,27,127,100,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
28,000407_jpg.rf.0855cb2f8b4a583606768aa3c5def899.jpg,wreck,93.26,80.4,0.0,58.6,REVIEW_REQUIRED,1,28,20,-8,1,0.8409,Moderate evidence candidate requiring operator verification.
29,000010_jpg.rf.efb6cf8c3257d078e4fffc1451283b5b.jpg,airplane,83.53,61.0,0.0,58.5,REVIEW_REQUIRED,1,29,56,27,1,0.9246,Moderate evidence candidate requiring operator verification.
30,000443_jpg.rf.ca7de3e5b8ca287f5537426b828ffd3e.jpg,wreck,90.94,82.2,0.0,58.4,REVIEW_REQUIRED,1,30,27,-3,1,0.9116,Moderate evidence candidate requiring operator verification.
31,000572_jpg.rf.cc092e5758c17b579861fa329f2b24cf.jpg,wreck,89.82,82.8,0.0,58.3,REVIEW_REQUIRED,1,31,31,0,1,0.8594,Moderate evidence candidate requiring operator verification.
32,000087_jpg.rf.c04c2f079ad52a1e4374352a6e4d348e.jpg,airplane,86.82,56.5,0.0,58.0,REVIEW_REQUIRED,1,32,46,14,1,0.7515,Moderate evidence candidate requiring operator verification.
33,000298_jpg.rf.67caf68a5f65cf21e8d0708069ae7867.jpg,wreck,87.17,83.1,0.0,57.5,REVIEW_REQUIRED,1,33,42,9,1,0.9091,Moderate evidence candidate requiring operator verification.
34,000675_jpg.rf.f3d6ccfc641ba93716c35a6a531b4781.jpg,wreck,96.72,73.6,0.0,57.5,REVIEW_REQUIRED,1,34,3,-31,1,0.869,Moderate evidence candidate requiring operator verification.
35,000632_jpg.rf.46f211670a7990a484cf68f4f0ec4d43.jpg,wreck,93.45,76.7,0.0,57.4,REVIEW_REQUIRED,1,35,19,-16,1,0.942,Moderate evidence candidate requiring operator verification.
36,000421_jpg.rf.0e5d334e324788ccf77c74a4739e9bd6.jpg,wreck,95.17,75.0,0.0,57.4,REVIEW_REQUIRED,1,36,10,-26,1,0.8887,Moderate evidence candidate requiring operator verification.
37,000427_jpg.rf.f801587b1a384d5f12dd433282783c8c.jpg,wreck,93.16,76.4,0.0,57.2,REVIEW_REQUIRED,1,37,21,-16,1,0.8339,Moderate evidence candidate requiring operator verification.
38,000489_jpg.rf.d14dd44b1a94f77c1d99d06577974e1e.jpg,wreck,96.56,72.1,0.0,56.9,REVIEW_REQUIRED,1,38,6,-32,1,0.9325,Moderate evidence candidate requiring operator verification.
39,000101_jpg.rf.ecbf1099f121a10fc29d2aba186fea28.jpg,airplane,87.13,53.3,0.0,56.9,REVIEW_REQUIRED,1,39,43,4,1,0.7847,Moderate evidence candidate requiring operator verification.
40,000549_jpg.rf.eb93e45dcae3eab4943fa7b27a93a08b.jpg,wreck,90.64,77.6,0.0,56.8,REVIEW_REQUIRED,1,40,28,-12,0,0.3567,Moderate evidence candidate requiring operator verification.
41,000475_jpg.rf.9ec9a9949ee49b794aa2d30d52df96c6.jpg,wreck,86.92,80.6,0.0,56.5,REVIEW_REQUIRED,1,41,45,4,1,0.8857,Moderate evidence candidate requiring operator verification.
42,000445_jpg.rf.ce01b83107e5b8711ecef47e55b97659.jpg,wreck,89.19,78.2,0.0,56.5,REVIEW_REQUIRED,1,42,35,-7,1,0.8554,Moderate evidence candidate requiring operator verification.
43,000427_jpg.rf.f801587b1a384d5f12dd433282783c8c.jpg,wreck,96.85,70.4,0.0,56.4,REVIEW_REQUIRED,2,43,2,-41,1,0.8315,Moderate evidence candidate requiring operator verification.
44,000255_jpg.rf.0bfac372ffbb65eb49cd9f6c7b1dab7e.jpg,wreck,82.93,83.4,0.0,56.1,REVIEW_REQUIRED,1,44,59,15,1,0.8608,Moderate evidence candidate requiring operator verification.
45,000046_jpg.rf.4023dcae9c4e27e34f6be32dfa2ecd53.jpg,drowning victim,43.35,70.0,0.0,56.1,REVIEW_REQUIRED,1,45,116,71,0,0.0,Moderate evidence candidate requiring operator verification.
46,000050_jpg.rf.26a57a4c930c01d10b34e2a40c4f1fe4.jpg,drowning victim,36.17,76.9,0.0,56.0,REVIEW_REQUIRED,1,46,130,84,0,0.0,Moderate evidence candidate requiring operator verification.
47,000232_jpg.rf.3f2ec2c2fed10f06971f5b3d2ea33027.jpg,wreck,94.35,71.2,0.0,55.9,REVIEW_REQUIRED,1,47,15,-32,1,0.9205,Moderate evidence candidate requiring operator verification.
48,000287_jpg.rf.2505fc51791884c415c32c652423e902.jpg,wreck,93.57,71.7,0.0,55.8,REVIEW_REQUIRED,1,48,18,-30,1,0.7904,Moderate evidence candidate requiring operator verification.
49,000678_jpg.rf.a369300d71b66873315581454622784d.jpg,wreck,89.05,75.3,0.0,55.5,REVIEW_REQUIRED,1,49,36,-13,1,0.8027,Moderate evidence candidate requiring operator verification.
50,000375_jpg.rf.d483765b982499ff385db069d82b6e78.jpg,wreck,83.45,78.8,0.0,54.8,REVIEW_REQUIRED,1,50,58,8,1,0.8728,Moderate evidence candidate requiring operator verification.
